Pairs,IBS
NO.1037INBRED_NO.1032INBRED,0.9335
NO.1049INBRED_WM13R,0.896
NO.1068INBRED_B73,0.8666
NO.1070INBRED_EA1070,0.9956
NO.1163INBRED_WXWF9,0.8762
NO.1174INBRED_NO.1175INBRED,0.9057
NO.1175INBRED_NO.1174INBRED,0.9057
NO.1185INBRED_Ia5125B,0.8683
NO.1197INBRED_EZ59,0.8844
NO.1201INBRED_NO.1174INBRED,0.8671
NO.1266INBRED_B73,0.8721
NO.380_Inbred6-907,0.9299
North7_Oh43,0.8962
NP86_SG30A,0.9296
NP87_Sg18,0.9268
NQ508_207,0.9407
NS501_PHG71,0.9344
NS701_B73,0.9702
NY1000NevehYaar_B73,0.8681
NY121NevehYaar_A627,0.8643
NY123NevehYaar_W32,0.9129
NY159NevehYaar_B73,0.8676
NY166NevehYaar_B73,0.863
NY188NevehYaar_B73,0.8667
NY318NeveyYaar_B73,0.8626
NY364NevehYaar_B73,0.8611
NY3NevehYaar_B73,0.8619
NY428NevehYaar_NY992NevehYaar,0.8826
NY476NevehYaar_B73,0.8626
NY51NevehYaar_B73,0.8656
NY5526_NY6371,0.9664
NY592NevehYaar_NY643NevehYaar,0.9527
NY6371_NY5526,0.9664
NY643NevehYaar_NY592NevehYaar,0.9527
NY65NevehYaar_B73,0.8646
NY971NevehYaar_NY992NevehYaar,0.8775
NY992NevehYaar_NY428NevehYaar,0.8826
NYLB31_B73,0.8745
NYRD4058_Mo17,0.9329
OBATANPAGH_CML490,0.865
OC1_Me244Wb,0.9001
OC10_C90,0.8837
OC11_BR-15DENTSTERILE,0.878
OC12_OC6,0.862
OC13_B73,0.8572
OC14_OC3,0.8656
OC15_B73,0.8592
OC16_OC18,0.9126
OC17_IADS43-W,0.8689
OC18_OC16,0.9126
OC19_ABPl3,0.9121
OC2_Ia5125,0.8882
OC3_OC6,0.9283
OC4_PHG50,0.9944
OC5_BR-15DENTSTERILE,0.9634
OC6_OC3,0.9283
OC7_B-15DENTSTERILE,0.9439
OC8_OC11,0.858
OC9_B73,0.8874
Oh28_H41,0.9088
OH33_MS132,0.8782
Oh40B_MS201,0.9701
OH422_B73,0.8705
Oh43_Oh43T,0.9926
Oh43E_LH38,0.9969
Oh43sh2_Oh43,0.9844
Oh43su_Oh43,0.983
Oh43T_Oh43,0.9926
Oh43TRf_Oh43,0.9848
Oh51A_Oh599,0.9423
Oh56A_CI91B,0.9406
Oh599_H73,0.952
Oh603_PHK76,0.8698
Oh605_W552,0.9584
Oh7_Oh7B,0.9724
Oh7B_Oh7,0.9724
OH7K_38-11,0.9095
OH84_B73,0.8706
OQ101_ND246,0.9351
OQ403_IBB15,0.9498
OQ603_WIL900,0.9945
Os420_WXOs420,0.9906
Os426_B73,0.88
OS602_207,0.9402
P39_S17,0.9835
P39A_A648,0.9906
P39Goodman-Buckler_S17,0.9975
P39M96_P39A,0.9892
P51_C40,0.962
P51B_P51,0.956
P51wx_Me244Wa,0.9417
P737M20_IA2132,0.967
P8_B90,0.8807
Pa356_6103,0.891
Pa376_Wf9,0.8726
Pa392_Pa405,0.9401
Pa405_Pa392,0.9401
Pa468_Wf9,0.8756
Pa759_H91,0.988
Pa760_H91,0.9824
Pa762_Oh43T,0.9538
Pa778_C103T,0.9228
Pa860_CI29B,0.8932
Pa871_Oh43T,0.9147
Pa875_CI29B,0.8947
Pa877_Wf9,0.8959
Pa879_CI29B,0.8858
Pa880_WXWF9,0.8941
Pa891_Pa91,0.9536
Pa91_Pa91HT2,0.9932
Pa91HT1_Pa91,0.9905
Pa91HT2_Pa91,0.9932
Pa91HT3_Pa91HT2,0.9928
PB80_B73,0.9877
PH11_TN50-14-1,0.8575
PH17_MR26PolloS5,0.8648
PH9_Oh43,0.9451
PHBA6_PHG47,0.9149
PHG29_207,0.9813
PHG35_PHK56,0.9389
PHG39_PHT55,0.9768
PHG47_PHJ89,0.9385
PHG50_OC4,0.9944
PHG71_PHW56,0.9551
PHG72_PHW56,0.9592
PHG83_PHJ33,0.9518
PHG84_PHR55,0.9526
PHG86_B73,0.9575
PHH93_PHN11,0.9695
PHJ31_PHM57,0.9539
PHJ33_PHG83,0.9518
PHJ40_PHT69,0.9346
PHJ65_PHK46,0.8762
PHJ70_B73,0.9308
PHJ75_207,0.9371
PHJ89_PHG47,0.9385
PHJ90_PHK42,0.9692
PHK05_CM37,0.9331
PHK29_PHP85,0.9557
PHK35_PHP38,0.9542
PHK42_PHG29,0.9745
PHK46_PHW30,0.8914
PHK56_PHG35,0.9389
PHK76_LH127,0.9144
PHK93_PHT60,0.9098
PHM10_207,0.9544
PHM49_PHV78,0.9188
PHM57_PHJ31,0.9539
PHM81_PHG72,0.9355
PHN11_PHG29,0.9761
PHN29_EZ24,0.932
PHN34_SC359,0.9171
PHN37_LH39,0.9111
PHN47_207,0.9173
PHN66_PHV37,0.9468
PHN73_LH39,0.9268
PHN82_PHG29,0.9685
PHP02_PHG29,0.9798
PHP38_PHG39,0.9693
PHP55_PHG29,0.9775
PHP60_T272,0.9061
PHP76_OC4,0.9569
PHP85_PHWG5,0.9972
PHPR5_PHW52,0.9529
PHR25_IBB15,0.9502
PHR30_PHG47,0.9348
PHR32_LH39,0.8815
PHR36_LH163,0.9233
PHR47_PHG39,0.9073
PHR55_PHG84,0.9526
PHR58_PHT77,0.9285
PHR62_PHG50,0.9478
PHR63_PHV53,0.9196
PHT10_GEMS-0093,0.9645
PHT22_207,0.9176
PHT55_PHG39,0.9768
PHT60_LH39,0.9258
PHT69_PHJ40,0.9346
PHT77_PHJ89,0.9353
PHV07_PHP76,0.9299
PHV37_PHN66,0.9468
PHV53_PHR63,0.9196
PHV63_G80,0.9188
PHV78_PHW65,0.9316
PHVA9_PHK29,0.9512
PHW03_B37,0.8918
PHW17_B73,0.9507
PHW20_PHN66,0.886
PHW30_IBB15,0.9131
PHW43_PHG35,0.9257
PHW51_B64,0.9451
PHW52_PHWG5,0.96
PHW56_PHW86,0.9963
PHW65_PHV78,0.9316
PHW79_DE3,0.944
PHW86_PHW56,0.9963
PHWG5_PHP85,0.9972
PHZ51_LH128,0.9346
PLS61/10870subline-1_S63,0.9375
PriorA_MS153,0.8863
PriorB_B73,0.866
PriorC_S3,0.9061
PriorD_CO255,0.9929
Q381_207,0.9955
R004_R4,0.9975
R061_L317,0.9402
R101_R113,0.8851
R103_Oh28,0.891
R105_R004,0.8844
R109B_Oh51A,0.9041
R113_R101,0.8851
R12_NC83,0.8773
R134_Mo2RF,0.9782
R138_HY2,0.9688
R154_WXHy,0.8877
R158_Wf9T,0.9063
R159_Oh40B,0.8806
R-15DENTSTERILE_RB-15DENTSTERILE,0.9571
R168_MS71,0.9318
R177_LH215,0.9377
R-17INBR.FR.SUPERGOLD_Sg18,0.985
R181_R181B,0.9941
R181B_R181,0.9941
R-18INBR.FR.SUPERGOLD_SG30A,0.9611
R192_M14,0.8929
R196_HY2,0.9396
R197_K201,0.9064
R2_R004,0.9131
R216_R216A,0.9828
R216A_R216,0.9828
R218_Oh43,0.9869
R219_Oh43,0.9834
R220_CI91B,0.9622
R221_CI91B,0.9565
R222_R222A,0.9748
R222A_W64AT,0.9785
R223_W153R,0.967
R225_R226,0.9009
R226_B79,0.911
R227_B94,0.9178
R228_Mo17,0.9384
R229_B73,0.9819
R-22INBR.FR.SUPERGOLD_BR-22,0.9629
R230_B73,0.9671
R-28_H101,0.9521
R-28-2_H101,0.945
R30_GE293,0.8702
R35_NC201,0.9134
R4_R004,0.9975
R-4524_R-53-1INBR.FR.YELPEARL,0.9343
R53_MS92,0.9169
R-53-1INBR.FR.YELPEARL_IADS53,0.9402
R-53-2INBR.FR.YELPEARL_IADS53,0.965
R71_R177,0.8851
R74_W22,0.8898
R75_Wf9,0.9599
R76_AH83,0.9554
R78_Ill.Hy,0.8949
R802A_B37,0.9501
R825_Ia5125B,0.977
R839_P51B,0.9404
R84_CI91B,0.9199
R851_P51B,0.9327
R853_Ia453,0.973
R901_M14,0.9383
R902A_HY2,0.9904
R903B_C103T,0.9815
R904A_K4,0.9695
R906_R901,0.9273
R907_Oh7,0.9361
R909_R909TMS,0.9972
R909TMS_R909,0.9972
R914_M14,0.9851
R917A_L317,0.9873
R921E_EZ19,0.9622
R924_B14,0.993
R941_R917A,0.9689
RB-15DENTSTERILE_B-15DENTSTERILE,0.9728
RB-17INBR.FR.SUPERGOLD_B-17INBR.FR.SUPERGOLD,0.992
RB-53INBR.FR.YELPEARL_IADS53,0.9808
R-PAH-1_R-RAH-2IN.FR.TOM-THUMB,0.9097
R-PAH-1IN.FR.TOM-THUMB_WH-PAH-2IN.FR.TOMTHUMB,0.9444
R-PAH-2_WH-PAH-2IN.FR.TOMTHUMB,0.9739
R-RAH-2IN.FR.TOM-THUMB_R-PAH-1,0.9097
RS710_A665,0.9041
S117_S63,0.9186
S125_S59A,0.9347
S14_4664INBRED,0.9275
S17_ND259,0.9982
S2_F2,0.9317
S22_S99,0.9125
S3_PriorC,0.9061
S330_Oh43,0.9544
S37_W153R,0.8975
S4_908,0.9052
S43_MS91,0.9349
S48_S63,0.8983
S51_F115,0.9155
S56_F7,0.9375
S59A_S99,0.9764
S61_S63,0.9471
S63_S61,0.9471
S65_42,0.9554
S8_PLS61/10870subline-1,0.9103
S8324_GEMS-0101,0.963
S8326_Mo17,0.9689
S90_S48,0.8759
S97_A344,0.8788
S99_S59A,0.9764
SA24_IADS62,0.9554
SAN349a-1_Mo44,0.9152
SC102_B73,0.8689
SC144_R35,0.8965
SC15_SC213R,0.9171
SC152_SC225,0.8784
SC155_SC55,0.9917
SC16_SeparationfromSC16,0.9755
SC212M_GT112,0.9369
SC213_SC213R,0.9763
SC213R_SC213,0.9763
SC225_SC235,0.88
SC229_B73,0.8656
SC235_SC235R3,0.9285
SC235R3_SC235,0.9285
SC276Q_SC276Q2,0.9928
SC276Q2_SC76,0.9977
SC277_SC76,0.9284
SC285_SC55,0.8707
SC301_SC301D,0.9783
SC301D_SC301,0.9783
SC301E_SC301D,0.9761
SC333_T115,0.9047
SC343_L578,0.8972
SC344_B73,0.8655
SC353_NC222,0.8944
SC357_SC343,0.8949
SC359_PHN34,0.9171
SC375_B73,0.8671
SC401_SC91,0.8704
SC44_F44,0.9081
SC54_NC240,0.9329
SC55_SC155,0.9917
SC60_SC55,0.8981
SC76_SC276Q2,0.9977
SC84_SC84E,0.9535
SC84E_SeparationfromSC84E,0.9669
SC90_SeparationfromSC90,0.9308
SC91_GT112,0.8843
SD10_Oh56A,0.9324
SD101_B37,0.9285
SD102_Q381,0.9227
SD106_A554,0.9276
SD108_B73,0.9791
SD15_Oh56A,0.9387
SD40_207,0.9419
SD41_W64AT,0.9559
SD42_H96,0.9134
SD43_W117HT,0.9406
SD44_Wf9,0.9005
SD46_207,0.9551
SD53_A632,0.9662
SD57_ND251,0.984
SD59_A619Ht3,0.9346
SD60_W64A,0.9724
SD63_CM169,0.9746
SD65_A654,0.9705
SD69_A665,0.9697
SeagullSeventeen_Mo17,0.9972
SeparationfromSC16_SC16,0.9755
SeparationfromSC84E_SC84E,0.9669
SeparationfromSC90_SC90,0.9308
SeparationfromTzi24_H95,0.9676
Sg1533_ADSg1501,0.9962
Sg18_B-17INBR.FR.SUPERGOLD,0.9879
SG30A_B-18INBR.FR.SUPERGOLD,0.9814
Shansino.60_Taun23,0.8791
STRAIN11D-586-68A_STRAIN304A-408-68B,0.9398
STRAIN18B-5-69_27A-317-68C,0.9366
STRAIN304A-408-68B_STRAIN11D-586-68A,0.9398
STRAIN451B-4-68B_IP39,0.9398
STRAIN465A-421-68B_Il14H,0.9174
STRAIN675A-415-68B_STRAIN304A-408-68B,0.9261
STRAINT20-2-68B_STRAINT36101T-394-68,0.978
STRAINT24-395-68B_STRAINT36101T-394-68,0.9698
STRAINT32-397-68B_STRAINT36101T-394-68,0.9763
STRAINT33-399-68B_STRAINT36101T-394-68,0.9709
STRAINT35-388-68A_STRAINT36101T-394-68,0.9789
STRAINT36101T-394-68_STRAINT35-388-68A,0.9789
SW322_S330,0.9221
SX-4-21Tetraploid_SX-4-4Tetraploid,0.9275
SX-4-4Tetraploid_SX-4-21Tetraploid,0.9275
SX-6-10Tetraploid_SX-6-7Tetraploid,0.903
SX-6-3Tetraploid_SX-6-7Tetraploid,0.8968
SX-6-7Tetraploid_SX-6-10Tetraploid,0.903
T101_T204,0.953
T111_T234,0.9878
T115_T224,0.9649
T140_T146,0.8666
T141_CO106,0.8801
T146_EP86,0.8807
T14F_T146,0.879
T163_Mo14W,0.8781
T165_T232,0.9386
T167_T175,0.9465
T171_B73,0.9691
T173_Mo17T,0.9458
T175_T167,0.9465
T179_T173,0.9335
T202_Mo312ae,0.9669
T204_T101,0.953
T220_T61,0.9362
T224_T115,0.9649
T226_Wf9,0.954
T232_T165,0.9386
T234_T111,0.9878
T242_Ill.Hy,0.8631
T252_Va35C,0.9168
T264_T270,0.8817
T270_T264,0.8817
T272_PHM57,0.9146
T61_T61w.c.,0.9954
T61w.c._T61,0.9954
T62S_T64S,0.9974
T64S_T62S,0.9974
T8_Va35,0.9645
T8144INBRED_T8146INBRED,0.8833
T8146INBRED_T8144INBRED,0.8833
T8302INBRED_W7151,0.947
T8354INBRED_WM13R,0.8938
T8445INBRED_A203,0.8868
T9_G6T123,0.9167
TANGCHAOINBRED_B73,0.8586
Taun23_Yellow3-4,0.9535
TIEH84_KUNG-70,0.893
TIL01_TIL11,0.8258
TIL02_TIL17,0.8286
TIL03_TIL14,0.8666
TIL04_B73,0.8228
TIL05_TIL06,0.8171
TIL06_TIL15,0.8392
TIL07_TIL15,0.8201
TIL08_TIL12,0.8309
TIL09_TIL11,0.8199
TIL10_TIL02,0.828
TIL11_TIL14,0.8265
TIL12_TIL08,0.8309
TIL14_TIL03,0.8666
TIL15_TIL16,0.8395
TIL16_TIL15,0.8395
TIL17_TIL02,0.8286
TN50-14-1_TN54-6,0.8829
TN53-1-2_TN54-6,0.8856
TN54-6_TN53-1-2,0.8856
Tr_TR9-1-1-6,0.9784
TR9-1-1-6_3167B,0.9978
TUO229_TZU-CHIAO-HSI-WU105,0.9136
TwanxTzuh-S6_S330,0.9243
Tx114_B73,0.929
Tx118_Mo17,0.9329
Tx202_Mo17,0.8883
Tx203_Tx802,0.9218
Tx204_Tx205,0.9815
Tx205_Tx204,0.9815
Tx29A_Tx61M,0.9466
Tx303_Tx29A,0.8714
Tx325_GEMS-0004,0.985
Tx441_AR400,0.9191
Tx601_Hi65,0.9799
Tx61M_Tx29A,0.9466
Tx706_Tx601,0.885
Tx71_Tx81,0.9958
Tx714_GEMS-0101,0.9874
Tx738_Mo17T,0.9608
Tx772_EZ14,0.9251
Tx802_Tx203,0.9218
Tx807_CML311,0.8624
Tx81_Tx71,0.9958
Tx811_T224,0.878
Tx817w_Tx29A,0.8924
TZAR101_Tzi25,0.8928
TZAR102_TZAR103,0.9285
TZAR103_Tzi3,0.9547
TZAR104_Ki14,0.916
TZAR105_TZEEI2,0.9414
TZAR106_TZEEI4,0.9162
TZEEI1_TZEEI2,0.9052
TZEEI11_TZEEI17,0.8674
TZEEI13_TZEEI16,0.8957
TZEEI14_TZEEI16,0.8844
TZEEI16_TZEEI9,0.9139
TZEEI17_TZEEI20,0.8834
TZEEI2_TZAR105,0.9414
TZEEI20_TZEEI17,0.8834
TZEEI21_TZEEI1,0.8589
TZEEI3_TZAR106,0.9115
TZEEI4_TZAR106,0.9162
TZEEI5_TZAR105,0.8916
TZEEI6_TZEEI5,0.8803
TZEEI7_TZEEI2,0.9075
TZEEI8_TZAR103,0.8665
TZEEI9_TZEEI16,0.9139
TZEI1_TZAR103,0.8802
TZEI10_TZEI11,0.8898
TZEI11_TZEI14,0.9596
TZEI12_TZEI13,0.9755
TZEI13_TZEI12,0.9755
TZEI14_TZEI11,0.9596
TZEI15_TZEI14,0.9587
TZEI16_TZEI11,0.9212
TZEI2_TZAR103,0.8836
TZEI3_TZEI6,0.9469
TZEI4_TZEI3,0.9052
TZEI5_TZEI3,0.8999
TZEI6_TZEI3,0.9469
TZEI7_Tzi3,0.8731
TZEI8_B73,0.8602
TZEI9_Tzi25,0.8647
Tzi1_TZSTRI101,0.8756
Tzi10_Tzi8,0.8596
Tzi11_Tzi13,0.8765
Tzi12_TZSTRI104,0.9018
Tzi13_Tzi23,0.9578
Tzi14_Tzi17,0.8765
Tzi15_Tzi13,0.8841
Tzi16_Tzi6,0.9916
Tzi17_Tzi16,0.9559
Tzi18_Hi67,0.9657
Tzi2_Tzi1,0.8671
Tzi21_A6,0.8746
Tzi22_Mo17,0.9114
Tzi23_Tzi13,0.9578
Tzi24_SeparationfromTzi24,0.9606
Tzi25_TZAR101,0.8928
Tzi26_Tzi27,0.8917
Tzi27_Tzi28,0.8979
Tzi28_Tzi27,0.8979
Tzi3_TZAR103,0.9547
Tzi30_Hi29,0.8856
Tzi4_Hi66,0.9734
Tzi5_Tzi4,0.9142
Tzi6_Tzi16,0.9916
Tzi7_Tzi8,0.922
Tzi8_Tzi7,0.922
Tzi9_TZEEI17,0.8804
TZMI711_TZMI730,0.9047
TZMI712_TZMI713,0.9683
TZMI713_TZMI712,0.9683
TZMI714_87014,0.9301
TZMI715_TZMI718,0.9384
TZMI716_TZMI728,0.9973
TZMI717_TZMI727,0.9973
TZMI718_TZMI715,0.9384
TZMI719_M131,0.9456
TZMI720_89258,0.8913
TZMI721_TZMI722,0.9953
TZMI722_TZMI721,0.9953
TZMI723_TZMI729,0.9414
TZMI724_Z28,0.9137
TZMI725_TZMI721,0.9473
TZMI726_TZSTRI119,0.8783
TZMI727_TZMI717,0.9973
TZMI728_TZMI716,0.9973
TZMI729_M131,0.9529
TZMI730_TZMI711,0.9047
TZSTRI101_TZSTRI102,0.9386
TZSTRI102_TZSTRI101,0.9386
TZSTRI103_TZSTRI101,0.9167
TZSTRI104_TZSTRI107,0.9515
TZSTRI105_TZSTRI107,0.9658
TZSTRI106_Tzi3,0.8829
TZSTRI107_TZSTRI105,0.9658
TZSTRI108_TZSTRI107,0.9429
TZSTRI109_TZSTRI111,0.8963
TZSTRI110_TZSTRI111,0.8942
TZSTRI111_TZSTRI109,0.8963
TZSTRI112_TZSTRI116,0.8904
TZSTRI113_TZSTRI116,0.8891
TZSTRI114_TZSTRI115,0.9377
TZSTRI115_TZSTRI114,0.9377
TZSTRI116_TZSTRI112,0.8904
TZSTRI117_TZSTRI115,0.8966
TZSTRI118_TZSTRI119,0.9292
TZSTRI119_CML215,0.9474
TZSTRI120_TZSTRI119,0.9311
TZSTRI121_CML373,0.8706
TZSTRI122_87036,0.9507
TZSTRI123_CML49,0.9954
TZSTRI124_MR22TuxpenoS6,0.8588
TZSTRI125_TZSTRI122,0.9488
TZSTRI126_90156,0.8912
TZU-CHIAO-HSI-WU105_TUO229,0.9136
TZU-CHIAO-HSI-WU302_YE-CHI-HUNG,0.9089
U123_G22T122,0.8924
U267Y_Mo402,0.8819
Va10_WXK64,0.9674
VA102_A679,0.9949
Va12C_T8,0.9232
Va14_Va17,0.9586
Va14A_R903B,0.9473
Va16_H98,0.8859
Va17_Va30,0.9666
Va18A_Va85,0.898
Va21A_Va21C,0.8962
Va21C_Va21A,0.8962
Va22_Va22B,0.9726
Va22B_Va22,0.9726
Va23_Va58,0.9817
Va24_Va46,0.9837
Va26_Oh43,0.9451
Va30_Va17,0.9666
Va33_T8,0.9359
Va35_Va35C,0.995
Va35C_Va35,0.995
Va36A_Va24,0.9532
Va37_WXWF9,0.8757
Va38_WXWF9,0.8741
Va39_Va17,0.9458
Va3A_T61,0.9594
Va4_Va5,0.989
Va46_Va24,0.9837
Va5_Va4,0.989
Va52_Va24,0.9208
Va58_Va23,0.9817
Va59_Va35C,0.9453
Va6_WXK44,0.8894
Va60_T8,0.945
Va85_LH156,0.9188
Va91_Va17,0.9615
Va99_Pa91,0.9352
VaW6_Oh43,0.8772
VEN981a-1_Mo44,0.9405
W117_W117HT,0.9961
W117HT_W117,0.9961
W153R_R223,0.967
W1736_W6728,0.9952
W182B_W182BN,0.9906
W182BN_W182B,0.9906
W182D_W182ETMS,0.968
W182E_W182ETMS,0.9951
W182ETMS_W182E,0.9951
W22_W22R,0.9829
W22R_W22,0.9829
W23_A407,0.9425
W24_A427,0.938
W32_A73,0.9181
W3607_IP39,0.9224
W3647_C15,0.9355
W3722_IP39,0.9394
W3742_Me244Wa,0.9959
W374B_A,0.9565
W374R2_W374B,0.952
W37A_A,0.9099
W401_A673,0.9254
W438_CH705-8,0.9162
W552_Oh605,0.9584
W5543_IP39,0.9503
W5552_A648,0.9104
W5579_IP39,0.937
W570_A635,0.9554
W572_B46,0.9384
W59E_Bei10=North10,0.9102
W6366_Ia453,0.9309
W6462_Ia5125,0.9414
W64A_W64Aae,0.9886
W64Aae/wx_W64Aae,0.9901
W64Aae_W64Aae/wx,0.9901
W64AT_W64Aae,0.9888
W6714_Me244Wa,0.9199
W6720-1_IP39,0.9601
W6720-2_W6720-1,0.9539
W6728_W1736,0.9952
W6757_C90,0.9836
W6786_IaEv3004,0.9495
W703_B73,0.8641
W7151_T8302INBRED,0.947
W8304_B73,0.9828
W8555_B84,0.9661
W9_CO192,0.9396
WD_W182B,0.9293
WD456_B14A,0.8836
Wf9_Wf9T,0.995
Wf9T_Wf9,0.995
WFg3-9_Ky21,0.9
WH-PAH-2IN.FR.TOMTHUMB_R-PAH-2,0.9739
WIL500_B14A,0.8787
WIL900_OQ603,0.9945
WIL901_Mo17,0.9669
WIL903_58801InbredMo17,0.9641
WM13R_A201,0.9605
WR3_WR3TMS,0.9525
WR3TMS_WR3,0.9525
WU-TAN-TZAO_TZU-CHIAO-HSI-WU105,0.8947
WX187-2_CI91B,0.9718
WX33-16_33-16,0.9734
WX38-11_38-11,0.9792
WXB14_B14,0.9948
WXB6_WXI205,0.9523
WXHy_Ill.Hy,0.9931
WXI198_I198,0.986
WXI205_WXB6,0.9523
WXK41_SD108,0.8722
WXK44_K41,0.9692
WXK55_K55,0.9907
WXK64_K64,0.9806
WXL289_L289,0.9931
WXL317_L317,0.9933
WXM14_M14,0.9731
WXOs420_Os420,0.9906
WXW22_W22,0.9739
WXWF9_Wf9,0.994
YANG_YE-CHI-HUNG,0.8943
Ye4_Huanyao,0.9945
YE-CHI-HUNG_TZU-CHIAO-HSI-WU302,0.9089
Yellow3-4_Taun23,0.9535
YING-55_B73,0.8706
YING-64_A334,0.881
Yong28_Yong28br2,0.9978
Yong28br2_Yong28,0.9978
Yu796_NS_C103,0.8774
YUBC3ILL_B73,0.8633
Z28_TZMI717,0.9209
ZS01250_LH160,0.9225
11430_207,0.9328
12E_B73,0.8821
13B-587-68A_14H-588-68B,0.9026
1416-1_NC298,0.8807
1497-2_NC340,0.8852
14H-588-68B_IaEv3004,0.9622
1538_CM105,0.9284
176_T8302INBRED,0.9178
197A-381-68A_Il767b,0.9035
207_IBB15,0.9913
21-396-68B_STRAINT32-397-68B,0.9707
226_T8302INBRED,0.9212
2369_B73Htrhm,0.9654
245_P39M96,0.8881
277_C31,0.9513
27A-317-68C_IaCG4189,0.928
29MIBZ2_207,0.9639
2FACC_F42,0.9442
2KM368INBRED_Ill.Hy,0.8818
2MA22_BCC03,0.8868
3167B_Tr,0.9782
33-16_Mo2RF,0.9691
38-11_Mo314ae,0.9809
38-11RPARENTHB19INB_HY2,0.9191
3IBZ2_83IBI3,0.9239
42_IP39,0.9543
4226_B73,0.8736
442A-431-68D_Il677a,0.934
4528.INBRED_4537.INBRED,0.9382
4533.INBRED_4537.INBRED,0.9357
4537.INBRED_4533.INBRED,0.9357
4550.INBRED_4562INBRED,0.955
4554.INBRED_4562INBRED,0.9532
4554INBRED_4550.INBRED,0.9519
4562INBRED_4550.INBRED,0.955
4564INBRED_4550.INBRED,0.9389
4566INBRED_4562INBRED,0.9038
4578INBRED_4581INBRED,0.9902
4580INBRED_4581INBRED,0.9907
4581INBRED_4578INBRED,0.9902
4655INBRED_INBR.PLS14MS.STERILE,0.9183
4659INBRED_4655INBRED,0.9206
4664INBRED_PriorC,0.9056
4676A_FBHJ,0.9203
469_S48,0.8936
4722_RB-15DENTSTERILE,0.9277
4F-182BS11_NC316,0.8535
4F-203AM6_4F-374GE3,0.8794
4F-234BX4_4F-240BX16,0.8605
4F-240BX16_INBRED305,0.8685
4F-259HQ_4F-203AM6,0.8755
4F-285TX15_4F-203AM6,0.8841
4F-300AD3_4F-345CN12,0.8685
4F-306108_B73,0.8596
4F-342CM4_B73,0.8608
4F-345CN12_4F-300AD3,0.8685
4F-350CN2_4F-353CN33,0.8748
4F-353CN33_EZ50,0.8619
4F-35BK_EZ49,0.8872
4F-374GE3_4F-203AM6,0.8794
4F-403JV15_EZ50,0.86
4N506_B73Htrhm,0.9511
5120B_SD108,0.8707
52220_Ye4,0.9104
5261_884,0.9228
5707_Va59,0.9386
58609A632MethBc5S4_A632,0.9922
58610A632MethBc5S4_A632,0.9918
58611InbredA632_58609A632MethBc5S4,0.9768
58612InbredB73_GEMS-0101,0.9941
58613B73MethBc5S4_B73,0.9951
58614B73MethBc5S4_B73,0.9956
58615B73MethBc5S4_58613B73MethBc5S4,0.9937
58801InbredMo17_Mo17,0.9979
58802Mo17MethBcS3_58804Mo17MethBcS3,0.9956
58803Mo17MethBcS3_Mo17,0.9949
58804Mo17MethBcS3_58802Mo17MethBcS3,0.9956
592_IP39,0.9204
6103_B14A,0.9715
66_A312,0.9116
676A-348-68B_STRAIN18B-5-69,0.893
6F629_B37TRf,0.9261
6M502_R903B,0.8947
6M502A_R903B,0.8935
740_Mo17,0.9806
764_793,0.9588
778_W117,0.9395
779_W117,0.9123
78002A_78010,0.9681
78004_78010,0.9706
78010_78002A,0.9681
78371A_Oh43T,0.9313
78551S_Oh43E,0.9299
787_Va91,0.9113
789_42,0.9313
790_794,0.9612
792_790,0.955
793_790,0.9688
794_B73,0.9719
80-2_W153R,0.8954
807_B37T,0.9279
81-1_GT119,0.8688
829_IP39,0.9233
83IBI3_207,0.9737
87014_90204,0.9357
87036_90263,0.9372
87916W_F42,0.9579
88030_CML214,0.8889
88069_C70,0.8681
88091_88094,0.9631
88094_88099,0.9614
88098_88094,0.9571
88099_88091,0.9557
883_P39M96,0.974
884_883,0.9484
89199_87036,0.8631
89207_90313,0.8656
89246_M131,0.8827
89248_89274,0.8911
89258_89302,0.9188
89260_89302,0.9106
89274_CML49,0.8972
89291_C70,0.8714
89302_TZMI724,0.913
89311_CML215,0.93
89365_CML199,0.8889
89S4083_B14,0.8858
89S4098_GEMS-0101,0.9742
89S4107_89S4125,0.8835
89S4110_89S4125,0.8881
89S4117_Hi31,0.956
89S4125_89S4110,0.8881
89S4127_89S4110,0.8934
89S4145_Wf9,0.8826
89S4154_AusTRCF306347,0.8891
89S4157_B14A,0.89
89S4190_LP1CMSHT,0.9497
90:01:00_B73Htrhm,0.8707
90143_90176,0.8975
90147_90156,0.8997
90156_90143,0.8952
90176_90143,0.8975
90183_90204,0.9044
90188_90204,0.9216
90204_90188,0.9216
90220_90188,0.906
90263_TZSTRI122,0.9148
90301_TZSTRI122,0.909
90313_TZSTRI122,0.9054
908_C38,0.9431
909_IP39,0.9755
991_GEMS-0091,0.9276
A_W374B,0.9565
A116_C49,0.9157
A12_A508,0.883
A131_A116,0.8906
A13-2INBREDPOTCHEFSTROOMPEARL_B73,0.8676
A14INBREDPOTCHEFSTROOMPEARL_C410-1F11INBREDHOTNOTCROSSES,0.8797
A14NW_A98NW,0.9561
A15_CO236,0.8719
A15-1INBREDPOTCHEFSTROOMPEARL_A17-1-1INBREDPOTCHEFSTROOMPEARL,0.9302
A152_A203,0.9355
A155_WM13R,0.9313
A158_A656,0.9342
