Pairs,IBS
A308_A188,0.9506
A310_A357,0.9648
A312_A322,0.9224
A321_H5,0.9514
A322_A166,0.9301
A325-1S10INBREDHOTNOT_A243-1-2S10INBREDPERUVIAN,0.8609
A328NW_A359NW,0.9636
A334_A264,0.971
A34_A171,0.9118
A340_A188,0.9105
A344_W153R,0.9504
A347NW_A359NW,0.9574
A357_A310,0.9648
A359NW_A328NW,0.9636
A374_A,0.9544
A375_A548,0.9716
A385_A422,0.9973
A3G-3-1-3_INBRED19-86,0.9524
A401_K,0.9213
A407_W23,0.9425
A413-3A-1-1S10INBREDROBYN_B73,0.8591
A415-1-3INBRED_B73,0.8623
A422_A385,0.9973
A424_A344,0.9214
A427_A663,0.9823
A436-1INBRED_B73,0.8641
A441-5_B73,0.8682
A449_A375,0.9278
A450_A451,0.9547
A451_A450,0.9547
A468-1INBRED_M14,0.8771
A480_A158,0.9133
A495_A498,0.9282
A497_A498,0.9276
A498_A499,0.948
A499_A498,0.948
A500_A497,0.9274
A502_A334,0.9262
A508_A509,0.9977
A509_A508,0.9977
A509N_B37,0.9802
A547_A375,0.9617
A548_A375,0.9716
A553NOrangeHalo_A509N,0.9695
A553NRedhalo_A553NOrangeHalo,0.9609
A554_SD106,0.9276
A556_B164,0.9074
A564N_Ill.Hy,0.986
A572_A666,0.936
A575_CO106,0.9413
A579N_A564N,0.9834
A57N_A14NW,0.9578
A588_A165,0.9207
A6_CML25,0.8838
A617_A618,0.944
A618_A617,0.944
A619_A619Ht3,0.9934
A619E_A619,0.9672
A619HT_A619,0.9919
A619Ht1_A619,0.9927
A619Ht2_A619Ht3,0.995
A619Ht3_A619Ht2,0.995
A622_A238,0.8915
A622N_B57,0.9394
A624_A295,0.9632
A625_A588,0.9205
A627_R061,0.9206
A628_M14,0.9113
A629_Wf9,0.9749
A630_Wf9,0.9787
A631_Wf9,0.9657
A632.75A1A2C1R1-rB1Pl1_A632HT,0.9776
A632_58609A632MethBc5S4,0.9922
A632+/sh2_A632sh2/sh2,0.9961
A632HT_A632,0.9909
A632HTN_A632HT,0.9873
A632RpRp_A632,0.988
A632sh2/sh2_A632+/sh2,0.9961
A632su/su_A632sh2/sh2,0.9943
A633_B14,0.9757
A634_B14,0.9695
A635_A635RpRp,0.9913
A635RpRp_A635,0.9913
A636_A664,0.9788
A637_A321,0.9449
A638_A629,0.9505
A639_A656,0.9937
A640_B14,0.9352
A641_A677,0.9354
A641N_B14A,0.9882
A643_AH83,0.8834
A644_R917A,0.8795
A645_A646,0.9849
A646_A645,0.9849
A648_P39A,0.9906
A649_A650,0.9618
A650_A649,0.9618
A651_A73,0.9297
A652_A90,0.9474
A653_A652,0.923
A654_SD65,0.9705
A655_Wf9,0.9517
A656_A639,0.9937
A657_A671,0.996
A659_A73,0.8947
A660_A73,0.8942
A661_CSJ3,0.9038
A661N_A664N,0.9845
A662_A675,0.9387
A663_A427,0.9823
A664_A636,0.9788
A664N_A661N,0.9845
A665_A635,0.9821
A666_A344,0.9458
A667_R75,0.8994
A668_R903B,0.9141
A669_Hy,0.9558
A670_A619Ht3,0.9566
A671_A657,0.996
A672_58610A632MethBc5S4,0.973
A673_W401,0.9254
A674_B14A,0.8787
A675_LH149,0.9413
A676_A662,0.9298
A677_A641,0.9354
A678_B52,0.9206
A679_VA102,0.9949
A680_B73,0.9902
A681_A679,0.9784
A682_Mo17,0.9461
A683_Mo17,0.9437
A684su_A685su,0.9369
A685su_A684su,0.9369
A686su_A684su,0.9268
A691N_W22,0.9701
A7_B73,0.8691
A71_A,0.8979
A73_A239,0.9336
A759NW_K64,0.9609
A797NW_K64,0.9664
A90_A652,0.9474
A96_EZ53,0.8994
A98NW_A14NW,0.9561
Ab18_NC7,0.9378
Ab24E_T202,0.9523
Ab26_AB26A,0.9877
AB26A_Ab26,0.9877
Ab28A_AH83,0.9103
Ab608A_GA221,0.9227
Ab610_GT112,0.888
ABPl2_ABPl3,0.994
ABPl3_ABPl2,0.994
ABPl4_A499,0.8922
ABPl5_N197,0.9974
AD104DS_ADSg1501-1,0.9352
AD11DS_AD26DS,0.9436
AD123DS_AD26DS,0.9341
AD139DS_AD139DS-2,0.9552
AD139DS-2_AD139DS,0.9552
AD147_AD147DS,0.9789
AD147DS_AD147,0.9789
AD157DS_IDS69,0.9317
AD175_AD139DS-2,0.9354
AD187-1_AD187-2,0.9621
AD187-2_AD187-1,0.9621
AD188L_AD188LDS,0.9569
AD188LDS_AD188L,0.9569
AD221_AD26DS,0.9559
